round_number	season	start_date	end_date
1	BOY->MOY	2026-10-05	2026-10-09
2	BOY->MOY	2026-10-26	2026-11-06
3	BOY->MOY	2026-11-09	2026-11-13
4	BOY->MOY	2026-11-30	2026-12-04
5	BOY->MOY	2026-12-14	2026-12-18
6	MOY->EOY	2027-02-01	2027-02-05
7	MOY->EOY	2027-02-15	2027-02-19
8	MOY->EOY	2027-03-01	2027-03-05
9	MOY->EOY	2027-03-15	2027-03-19
10	MOY->EOY	2027-04-05	2027-04-09
11	MOY->EOY	2027-04-19	2027-04-23
