entity,attribute_camel,attribute_snake,description
AssessmentForm,AssessmentFormAlgorithmVersion,assessment_form_algorithm_version,The version of the algorithm used to generate a custom form for an adaptive test.
AssessmentForm,AssessmentFormGUID,assessment_form_guid,The globally unique identifier of an Assessment Form.
AssessmentForm,AssessmentFormIntendedAdministrationEndDate,assessment_form_intended_administration_end_date,The ending date of the time period in which the assessment form is intended to be administered.
AssessmentForm,AssessmentFormName,assessment_form_name,The name of a given assessment form.
AssessmentForm,AssessmentFormNumber,assessment_form_number,The number of a given assessment form.
AssessmentForm,AssessmentFormPlatformsSupported,assessment_form_platforms_supported,A human readable list of delivery platforms the form will support.
AssessmentFormSection,AssessmentFormSectionGUID,assessment_form_section_guid,The globally unique identifier of an Assessment Form Section using a RFC 4122 compliant hexadecimal string.
AssessmentFormSection,AssessmentFormSectionIdentifier,assessment_form_section_identifier,A unique number or alphanumeric code assigned to the Assessment Form Section using the system specified by Identification System for Assessment Form Section.
AssessmentFormSection,AssessmentFormSectionTimeLimit,assessment_form_section_time_limit,"If this section is timed, then this will identify the maximum amount of time the test taker can spend within this section."
AssessmentFormSection,AssessmentFormSectionVersion,assessment_form_section_version,The version number of the Assessment Form Section.
AssessmentSubtestAssessmentItem,AssessmentFormSubtestItemWeightCorrect,assessment_form_subtest_item_weight_correct,A weighting factor for how the item score is used to compute a sub-test score when the item is correct or partially correct. Item weight of 1 indicates the full item score is used. A weight of .5 would indicate the item only contributes one half of the item score to the subtest. A weight of 0 indicates the item does not affect the sub test score.
AssessmentSubtestAssessmentItem,AssessmentFormSubtestItemWeightIncorrect,assessment_form_subtest_item_weight_incorrect,A weighting factor for how the item score is used to compute a sub-test score when the item is attempted and incorrect. Item weight should be a negative value if the item subtracts from the score if missed.
AssessmentSubtestAssessmentItem,AssessmentFormSubtestItemWeightNotAttempted,assessment_form_subtest_item_weight_not_attempted,A weighting factor for how the item score is used to compute a sub-test score when the item has not been attempted by the student. Item weight should be a negative value if the item subtracts from the score if not attempted.
AssessmentSubtest,AssessmentFormSubtestTier,assessment_form_subtest_tier,"In a hierarchy of subtests, this element represents the level of the sub test in the hierarchy.  The top tier and default is zero."
AssessmentForm,AssessmentFormVersion,assessment_form_version,The version number of the Assessment Form.
AssessmentFormSection,AssessmentGUID,assessment_guid,The globally unique identifier of an Assessment using a RFC 4122 compliant hexadecimal string.
Assessment,AssessmentIdentifier,assessment_identifier,"A unique number or alphanumeric code assigned to an assessment by a school, school system, a state, or other agency or entity.  This may be the publisher identifier."
AssessmentItemApip,AssessmentItemAPIPItemBodyXML,assessment_item_apip_item_body_xml,"The item body contains the text, graphics, media objects, and interactions that describe the item's content and information about how it is structured. The body is presented by combining it with stylesheet information, either explicitly or implicitly using the default style rules of the delivery or authoring system. This element contains the appropriate XML from the IMS Global APIP Specification defining the various item body interactions."
AssessmentItemApip,AssessmentItemAPIPModalFeedbackXML,assessment_item_apip_modal_feedback_xml,Modal feedback is shown to the candidate directly following response processing. The value of an outcome variable is used in conjunction with the showHide and identifier attributes to determine whether or not the feedback is shown in a similar way to feedbackElement. The XML from the IMS Global APIP Specification would be included.
AssessmentItemApip,AssessmentItemAPIPOutcomeDeclarationXML,assessment_item_apip_outcome_declaration_xml,Outcome variables are declared by outcome declarations. Their value is set either from a default given in the declaration itself or by a responseRule during response processing.  The XML from the IMS Global APIP Specification would be included.
AssessmentItemApip,AssessmentItemAPIPResponseDeclarationXML,assessment_item_apip_response_declaration_xml,Response declarations state what the response variables include.  The response declaration may assign an optional correct response. The XML from the IMS Global APIP Specification would be included.
AssessmentItemApip,AssessmentItemAPIPResponseProcessingTemplateURL,assessment_item_apip_response_processing_template_url,These templates are described using the processing language defined in IMS Global APIP specification and are distributed (in XML form) along with it. Delivery engines that support generalized response processing do not need to implement special mechanisms to support them as a template file can be parsed directly while processing the assessment item that refers to it. This element provides the URL for the template.
