entity,attribute_camel,attribute_snake,description
ApipInteraction,AssessmentItemBodyGapMatchInteractionXML,assessment_item_body_gap_match_interaction_xml,"A gap match interaction contains a number gaps that the candidate can fill from an associated set of choices. The candidate must be able to review the content with the gaps filled in context, as indicated by their choices. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodyGraphicGapMatchInteractionXML,assessment_item_body_graphic_gap_match_interaction_xml,"A graphic gap-match interaction is a graphical interaction with a set of gaps that are defined as areas (hotspots) of the graphic image and an additional set of gap choices that are defined outside the image. The candidate must associate the gap choices with the gaps in the image and be able to review the image with the gaps filled in context, as indicated by their choices. Care should be taken when designing these interactions to ensure that the gaps in the image are a suitable size to receive the required gap choices. It must be clear to the candidate which hotspot each choice has been associated with. When associated, choices must appear wholly inside the gaps if at all possible and, where overlaps are required, should not hide each other completely. If the candidate indicates the association by positioning the choice over the gap (e.g., drag and drop) the system should 'snap' it to the nearest position that satisfies these requirements. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodyGraphicOrderInteractionXML,assessment_item_body_graphic_order_interaction_xml,"A graphic order interaction is a graphic interaction with a corresponding set of choices that are defined as areas of the graphic image. The candidate's task is to impose an ordering on the areas (hotspots). The order hotspot interaction should only be used when the spatial relationship of the choices with respect to each other (as represented by the graphic image) is important to the needs of the item. Otherwise, orderInteraction should be used instead with separate material for each option. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodyHotSpotInteractionXML,assessment_item_body_hot_spot_interaction_xml,"A hotspot interaction is a graphical interaction with a corresponding set of choices that are defined as areas of the graphic image. The candidate's task is to select one or more of the areas (hotspots). The hotspot interaction should only be used when the spatial relationship of the choices with respect to each other (as represented by the graphic image) is important to the needs of the item. Otherwise, choiceInteraction should be used instead with separate material for each option. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodyHottextInteractionXML,assessment_item_body_hottext_interaction_xml,"The hottext interaction presents a set of choices to the candidate represented as selectable runs of text embedded within a surrounding context, such as a simple passage of text. Like choiceInteraction, the candidate's task is to select one or more of the choices, up to a maximum of maxChoices. The interaction is initialized from the defaultValue of the associated response variable, a NULL value indicating that no choices are selected (the usual case). The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodyInlineChoiceInteractionXML,assessment_item_body_inline_choice_interaction_xml,"A inline choice is an inline interaction that presents the user with a set of choices, each of which is a simple piece of text. The candidate's task is to select one of the choices. Unlike the Choice Interaction, the delivery engine must allow the candidate to review their choice within the context of the surrounding text."
ApipInteraction,AssessmentItemBodyMatchInteractionXML,assessment_item_body_match_interaction_xml,"A match interaction presents candidates with two sets of choices and allows them to create associates between pairs of choices in the two sets, but not between pairs of choices in the same set. Further restrictions can still be placed on the allowable associations using the matchMax attribute of the choices. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodyMediaInteractionXML,assessment_item_body_media_interaction_xml,"The media interaction allows more control over the way the candidate interacts with a time-based media object and allows the number of times the media object was experienced to be reported in the value of the associated response variable, which must be of base-type integer and single cardinality. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodyOrderInteractionXML,assessment_item_body_order_interaction_xml,"In an order interaction the candidate's task is to reorder the choices, the order in which the choices are displayed initially is significant. By default the candidate's task is to order all of the choices but a subset of the choices can be requested using the maxChoices and minChoices attributes. When specified the candidate must select a subset of the choices and impose an ordering on them. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodyPositionObjectInteractionXML,assessment_item_body_position_object_interaction_xml,"The position object interaction consists of a single image which must be positioned on another graphic image (the stage) by the candidate. Like selectPointInteraction, the associated response may have an areaMapping that scores the response on the basis of comparing it against predefined areas but the delivery engine must not indicate these areas of the stage. Only the actual position(s) selected by the candidate shall be indicated. The XML from the IMS Global APIP Specification would be included."
